OFFENSE_CODE,OFFENSE_CODE_GROUP,STREET
3801,Violations,STRATHCONA RD
3006,Investigate Person,HATHERLY RD
3831,Investigate Person,HOWES ST
3114,Medical Assistance,JERSEY ST
3005,Larceny,WASHINGTON ST
301,Investigate Person,GENEVA AVE
3205,Larceny,WASHINGTON ST
1832,Police Service Incidents,
3115,Drug Violation,WILMINGTON AVE
2006,Search Warrants,POWELLTON RD
801,Firearm Violations,SUMMER ST
3115,Drug Violation,LUCERNE ST
3007,Property Lost,SOUTHWOOD ST
3115,Medical Assistance,MASSACHUSETTS AVE
3115,Investigate Person,CORONA ST
3301,Property Lost,WALDEMAR AVE
1402,Medical Assistance,WASHINGTON ST
241,Property Found,ADAMS ST
1402,Medical Assistance,HAWTHORNE ST
3301,Medical Assistance,WASHINGTON ST
3301,Warrant Arrests,DEVON ST
3402,Residential Burglary,UNION ST
3802,Other,CONDOR ST
801,Investigate Property,BOYLSTON ST
3115,Towed,WALDECK ST
3114,Medical Assistance,
540,Larceny,WIDETT CIR
1832,Drug Violation,BREMEN ST
3803,License Violation,
1402,Vandalism,MOUNT VERNON ST
423,Residential Burglary,RUTHVEN ST
3301,Motor Vehicle Accident Response,WOLCOTT ST
3301,Aggravated Assault,QUINCY ST
3802,Verbal Disputes,
540,Motor Vehicle Accident Response,PETERBOROUGH ST
3115,Larceny,
3115,Confidence Games,SOUTHAMPTON ST
3301,Motor Vehicle Accident Response,AVENUE DE LAFAYETTE
3006,Confidence Games,MAVERICK SQ
1402,Residential Burglary,COMMONWEALTH AVE
540,Medical Assistance,LONGWOOD AVE
3301,Larceny,WALNUT AVE
3115,Larceny,W BROADWAY
423,Property Lost,AMORY AVE
3301,Towed,WHITTEN ST
3005,Medical Assistance,
423,Missing Person Reported,NORFOLK ST
2647,Other,PARIS ST
801,Motor Vehicle Accident Response,TYNDALE ST
2905,Simple Assault,
724,Robbery,BLUE HILL AVE
3001,Aggravated Assault,CONRAD ST
3114,Simple Assault,OLNEY ST
801,Other,
3005,Verbal Disputes,GLENVILLE AVE
3115,Larceny From Motor Vehicle,HANO ST
801,Investigate Person,WALES ST
3301,Investigate Person,GENEVA AVE
801,Larceny,
2647,Towed,LAWRENCE AVE
3108,Property Lost,TELFORD ST
301,Other,SAINT MARKS RD
111,Other Burglary,ERIE ST
3114,Medical Assistance,BLUE HILL AVE
3831,Motor Vehicle Accident Response,FAVRE ST
3301,Motor Vehicle Accident Response,VALLAR RD
3304,Investigate Person,WESTVIEW ST
3114,Auto Theft,W CEDAR ST
3006,Motor Vehicle Accident Response,W THIRD ST
1106,Missing Person Reported,CENTRE ST
3115,Property Found,CENTRE ST
3801,Other,DORCHESTER AVE
801,Larceny,COMMONWEALTH AVE
423,Residential Burglary,FIDELIS WAY
3005,Towed,BLOSSOM ST
3110,Police Service Incidents,CAMBRIDGE ST
2612,Motor Vehicle Accident Response,CODMAN PARK
3115,Other,S HUNTINGTON AVE
3005,Drug Violation,WINSTON RD
3301,Larceny,GARFIELD AVE
3831,Police Service Incidents,WOODROW AVE
3114,Investigate Person,JOSEPHINE ST
1106,Aggravated Assault,DARTMOUTH ST
619,Warrant Arrests,FLORENCE ST
3831,Auto Theft,
3301,Larceny,
619,Other,SEAVER ST
1832,Property Found,
801,Other,RIVER ST
801,Medical Assistance,WASHINGTON ST
3115,Larceny From Motor Vehicle,W BROADWAY
3115,Confidence Games,
3301,Medical Assistance,ARLINGTON AVE
616,Motor Vehicle Accident Response,RUGGLES ST
3831,Investigate Property,
3803,Motor Vehicle Accident Response,
613,Motor Vehicle Accident Response,GENEVA AVE
3803,Investigate Property,MCGREEVEY WAY
3006,Towed,FAYWOOD AVE
423,Vandalism,HANCOCK ST
3006,Vandalism,BRIGHTON AVE
3005,Vandalism,BOYLSTON ST
3006,Vandalism,ATHELWOLD ST
3831,Vandalism,GIBSON ST
3115,Motor Vehicle Accident Response,HYDE PARK AVE
3006,Medical Assistance,ADAMS ST
3301,Other,CORNELL ST
3006,Property Found,
3005,Motor Vehicle Accident Response,
619,Fraud,BLUE LEDGE TER
2647,Larceny From Motor Vehicle,TRUMAN PKWY
3301,Warrant Arrests,COMMONWEALTH AVE
3301,Towed,BULLARD ST
3301,Motor Vehicle Accident Response,RUGGLES ST
3301,Residential Burglary,HARVARD ST
619,Towed,
2670,Property Lost,
423,Counterfeiting,SARATOGA ST
2670,Property Found,WASHINGTON ST
3005,Verbal Disputes,FENWOOD RD
2662,Medical Assistance,GREENVILLE ST
3114,Larceny,TREMONT ST
3005,Simple Assault,BLUE HILL AVE
3115,Other,SARATOGA ST
1402,Medical Assistance,WAVERLY ST
3006,Medical Assistance,JOYCE KILMER RD
3301,License Violation,DRAPER ST
3106,Simple Assault,MT EVERETT ST
3130,Drug Violation,BOSTON ST
1402,Investigate Person,MARSHFIELD ST
3301,Verbal Disputes,WASHINGTON ST
801,Other,MASON ST
614,Larceny,LANCASTER ST
619,Vandalism,GIBSON ST
3801,Motor Vehicle Accident Response,HARRISON AVE
423,Robbery,GIBSON ST
2007,Simple Assault,NEW SUDBURY ST
801,Aggravated Assault,
619,Verbal Disputes,CUMMINS HWY
3006,Medical Assistance,MILTON AVE
3802,Other,
3115,Motor Vehicle Accident Response,PENNIMAN RD
3001,Motor Vehicle Accident Response,NEWMARKET SQ
1402,Other,BLUE HILL AVE
3001,Motor Vehicle Accident Response,
1402,Vandalism,KEYSTONE ST
614,Ballistics,WASHINGTON ST
3831,Medical Assistance,COLUMBIA RD
423,Investigate Property,DEWEY ST
3301,Simple Assault,WENTWORTH ST
3802,Verbal Disputes,WASHINGTON ST
3115,Simple Assault,VFW PKWY
801,Simple Assault,ALASKA ST
3114,Vandalism,APPLETON ST
3115,Missing Person Located,E COTTAGE ST
3115,Motor Vehicle Accident Response,PARK PLZ
520,Larceny,TOPLIFF ST
2907,Drug Violation,BAYSWATER ST
3301,Firearm Violations,TUTTLE ST
3501,Other,BLUE HILL AVE
3301,Medical Assistance,
614,Towed,GIBSON ST
3126,Confidence Games,
616,Missing Person Located,WASHINGTON ST
423,Missing Person Reported,MAGNOLIA ST
613,Motor Vehicle Accident Response,BOYLSTON ST
3006,Medical Assistance,NEW SUDBURY ST
3802,Towed,HARRISON AVE
3115,Fraud,HOSMER ST
3130,Verbal Disputes,
3831,Simple Assault,CRAWFORD ST
3301,Police Service Incidents,CODMAN HILL AVE
801,Firearm Violations,FOREST HILLS ST
3503,Recovered Stolen Property,SUMMER ST
619,Simple Assault,WASHINGTON ST
614,Verbal Disputes,HARRISON AVE
2647,Investigate Property,FRANKLIN ST
3801,Medical Assistance,CENTRE ST
613,Verbal Disputes,CHARLES ST
613,Towed,CAMBRIDGE ST
3830,Medical Assistance,WASHINGTON ST
3201,Aggravated Assault,MORTON ST
616,Medical Assistance,PARK DR
3115,Warrant Arrests,CENTRE ST
3006,Simple Assault,COMMERCIAL ST
3119,Motor Vehicle Accident Response,DORCHESTER AVE
3115,Larceny,BOWDOIN AVE
3006,Property Found,SARATOGA ST
423,Property Found,MOUNT HOPE ST
1102,Motor Vehicle Accident Response,VFW PKWY
619,Verbal Disputes,BLUE HILL AVE
3301,Investigate Person,BLUE HILL AVE
3115,Medical Assistance,HARRISON AVE
3115,Investigate Person,BLUE HILL AVE
613,Medical Assistance,SEAPORT BLVD
3114,Investigate Property,RUTHERFORD AVE
3001,Investigate Person,NORTHAMPTON ST
3802,Investigate Property,WASHINGTON ST
3207,Investigate Person,
801,Simple Assault,BEECH ST
3115,Drug Violation,MICHIGAN AVE
3201,Motor Vehicle Accident Response,BELLAMY ST
3301,Larceny,HAZLETON ST
613,Harassment,SUMMER ST
3006,Missing Person Located,VICTORY RD
3114,Investigate Property,
2647,Investigate Property,ADAMS ST
3803,Counterfeiting,
3301,Larceny,LORNE ST
1402,Motor Vehicle Accident Response,GIBSON ST
1402,Larceny,SCHOOL ST
617,Drug Violation,TRAVELER ST
2647,Aggravated Assault,WASHINGTON ST
801,Disorderly Conduct,
616,Drug Violation,BRIGHTON AVE
2647,Drug Violation,SAN JUAN ST
3115,Drug Violation,WORDSWORTH ST
3006,Drug Violation,BLUE HILL AVE
617,Verbal Disputes,PARK DR
3301,Fire Related Reports,DUDLEY ST
3115,Larceny,CENTRE ST
1102,Motor Vehicle Accident Response,EDGEMERE RD
2670,Verbal Disputes,WASHINGTON ST
3410,Verbal Disputes,COLONIAL AVE
2007,Property Found,GIBSON ST
3301,Medical Assistance,READVILLE ST
3301,Verbal Disputes,HARMON ST
3115,Motor Vehicle Accident Response,COMMONWEALTH AVE
1107,Motor Vehicle Accident Response,GIBSON ST
3410,Other,WAUMBECK ST
3201,Violations,HEWLETT ST
614,Larceny,BERKELEY ST
3301,Larceny,HENDRY ST
614,Investigate Person,NORTHAMPTON ST
3831,Drug Violation,WASHINGTON ST
1402,Larceny,
3301,Landlord/Tenant Disputes,MILTON AVE
1102,Vandalism,CANAL ST
724,Investigate Person,KELTON ST
3114,Other,MAVERICK ST
3820,Motor Vehicle Accident Response,
2670,Property Lost,RIDGEWOOD ST
3831,Larceny,
3301,Drug Violation,BLUE HILL AVE
613,Drug Violation,WASHINGTON ST
3301,Missing Person Reported,STANDARD ST
301,Medical Assistance,COLUMBUS AVE
3005,Investigate Person,GENEVA AVE
3830,Investigate Person,
1402,Investigate Person,WASHINGTON ST
3301,Property Lost,DUNKELD ST
3301,Drug Violation,CALUMET ST
3301,Landlord/Tenant Disputes,JUSTINIAN WAY
3410,Robbery,
2647,Fraud,HARVARD ST
614,Verbal Disputes,SHETLAND ST
1501,Verbal Disputes,
2647,Medical Assistance,ASHFORD ST
3831,Residential Burglary,WASHINGTON ST
3301,Larceny From Motor Vehicle,WEYBOSSET ST
3115,Drug Violation,FRANKLIN ST
1107,Drug Violation,BLUE HILL AVENUE
3115,Vandalism,SAVANNAH AVE
3831,Restraining Order Violations,RIVER ST
3802,Motor Vehicle Accident Response,
3115,Fraud,GIBSON ST
423,Simple Assault,E FIRST ST
3503,Investigate Person,COMMONWEALTH AVE
617,Medical Assistance,LAWRENCE AVE
3301,Ballistics,CUMMINS HWY
3501,Drug Violation,WASHINGTON ST
619,Other,MIDDLE ST
614,Confidence Games,ARBORWAY
3110,Property Lost,FACTORY ST
3111,Other Burglary,LINDEN ST
3831,Auto Theft,WASHINGTON ST
3005,Motor Vehicle Accident Response,TEMPLE ST
614,Fraud,HYDE PARK AVE
3018,Property Lost,TREMONT ST
3301,Confidence Games,RECTOR RD
801,Aggravated Assault,
3301,Verbal Disputes,SEYMOUR ST
3301,Investigate Person,BLUE HILL AVE
3005,Confidence Games,CHURCH ST
801,Medical Assistance,COTTAGE CT
3207,Motor Vehicle Accident Response,WASHINGTON ST
1107,Vandalism,WASHINGTON ST
3301,Missing Person Reported,BLUE HILL AVE
3301,Auto Theft,RUSKINDALE RD
3005,Auto Theft Recovery,FENWAY
801,Simple Assault,CAUSEWAY ST
3301,Medical Assistance,CROWELL ST
3115,Motor Vehicle Accident Response,BOYLSTON ST
423,Harassment,MASSACHUSETTS AVE
1107,Simple Assault,FRUIT ST
3115,Violations,WASHINGTON ST
1107,Investigate Person,NEW SUDBURY ST
616,Investigate Person,GIBSON ST
3410,Medical Assistance,JERSEY ST
3820,Larceny,W BROADWAY
3201,Investigate Person,HYDE PARK AVE
3301,Larceny,NEPONSET AVE
3115,Police Service Incidents,DELANO ST
3006,Drug Violation,ROSEMONT ST
613,Search Warrants,WASHINGTON ST
3201,Firearm Violations,ALLSTATE RD
617,Drug Violation,BLUE HILL AVE
3115,Property Lost,DORCHESTER ST
2670,Medical Assistance,RADCLIFFE RD
2670,Investigate Person,GIBSON ST
641,Property Lost,WELL ST
2647,Medical Assistance,CUMMINS HWY
3410,Property Found,DUNLAP ST
3801,Medical Assistance,BOYLSTON ST
1102,Medical Assistance,WASHINGTON ST
1402,Warrant Arrests,WASHINGTON ST
801,Residential Burglary,GENEVA AVE
706,Other,WASHINGTON ST
3114,Investigate Property,HAVRE ST
3106,Towed,QUINCY ST
2647,Medical Assistance,BERKELEY ST
3115,Larceny,WASHINGTON ST
3802,Drug Violation,
3005,License Violation,BROOKWAY RD
3114,Vandalism,JERSEY ST
616,Residential Burglary,SUDBURY ST
3114,Motor Vehicle Accident Response,WASHINGTON ST
1402,Aggravated Assault,NEW SUDBURY ST
801,Verbal Disputes,MICHIGAN AVE
3005,Motor Vehicle Accident Response,COREY ST
3502,Larceny,SUMMER ST
3115,Confidence Games,COMMONWEALTH AVE
3207,Motor Vehicle Accident Response,GIBSON ST
614,Confidence Games,HARRISHOF ST
619,Residential Burglary,TRUMAN PKWY
3115,Medical Assistance,BROOKLINE AVE
3006,Larceny,HUNTINGTON AVE
3301,Larceny,LEYLAND ST
2670,Property Lost,HYDE PARK AVE
3301,Towed,ADAMS ST
3207,Medical Assistance,WASHINGTON ST
3301,Missing Person Reported,MADISON PARK CT
3301,Other,ADAMS ST
3115,Motor Vehicle Accident Response,RIVER ST
801,Simple Assault,W BROADWAY
3115,Robbery,RUGGLES ST
301,Aggravated Assault,DUDLEY STATION
1402,Simple Assault,MAVERICK SQ
1102,Other,GIBSON ST
2007,Verbal Disputes,ZEIGLER ST
3114,Larceny From Motor Vehicle,SUTHERLAND RD
3301,Investigate Person,CANTERBURY ST
1102,Investigate Person,GIBSON ST
3006,Larceny,MONSIGNOR ALBERT A. JACOBBE RD
3201,Towed,MASSACHUSETTS AVE
801,Property Lost,
801,Other,W FIFTH ST
3114,Other Burglary,WASHINGTON ST
3301,Medical Assistance,ATHERTON ST
3106,Motor Vehicle Accident Response,CRAWFORD ST
3006,Motor Vehicle Accident Response,RAVEN ST
3301,Investigate Person,COURTLAND RD
3201,Auto Theft,SCHROEDER PLZ
3119,Motor Vehicle Accident Response,ALBANY ST
3005,Missing Person Reported,GARDNER ST
3115,Property Found,DRUMMOND ST
3006,Other,BLUE LEDGE DR
3018,Larceny,WASHINGTON ST
1810,Residential Burglary,EDGEWOOD ST
3820,Towed,AMORY ST
3112,Police Service Incidents,OLNEY ST
520,Motor Vehicle Accident Response,MERRILL ST
1106,Other,BLUE HILL AVE
3005,Drug Violation,BOYLSTON PL
3001,Larceny,NIGHTINGALE ST
423,Police Service Incidents,COLUMBUS AVE
617,Investigate Person,STATE ST
616,Aggravated Assault,BLACKFAN CIR
613,Warrant Arrests,MARKET ST
801,Auto Theft,S HUNTINGTON AVE
3115,Larceny,MASSACHUSETTS AVE
616,Other,HARRISON AVE
2610,Property Found,MOUNT HOOD RD
3112,Other,COLUMBIA RD
2662,Medical Assistance,CUSHING AVE
3114,Larceny From Motor Vehicle,HARRISON AVE
1106,Confidence Games,E NEWTON ST
3802,Medical Assistance,
2905,Motor Vehicle Accident Response,
3005,Investigate Property,COLUMBIA RD
617,Motor Vehicle Accident Response,WASHINGTON ST
1402,Motor Vehicle Accident Response,PARIS ST
1402,Investigate Property,WOODBOURNE RD
3831,Towed,WASHINGTON ST
3811,Vandalism,MASSACHUSETTS AVE
3125,Vandalism,BOYLSTON ST
3802,Vandalism,SUMMIT AVE
3820,Vandalism,
613,Vandalism,CENTRE ST
2007,Motor Vehicle Accident Response,HYDE PARK AVE
801,Medical Assistance,NEWBURY ST
3115,Other,BELNEL RD
613,Property Found,HUNTINGTON AVE
706,Motor Vehicle Accident Response,HARRISHOF ST
3201,Fraud,WASHINGTON ST
3301,Larceny From Motor Vehicle,CENTRE ST
3115,Warrant Arrests,
619,Towed,FIELD'S CT
3115,Motor Vehicle Accident Response,LONDON ST
1107,Residential Burglary,HUNTINGTON AVE
1832,Towed,ALLSTATE RD
1402,Property Lost,FOREST HILLS ST
616,Counterfeiting,MASSACHUSETTS AVE
3831,Property Found,GIBSON ST
613,Verbal Disputes,RIVER ST
3115,Medical Assistance,EVELYN ST
3005,Larceny,ROCKINGHAM AVE
1402,Simple Assault,WASHINGTON ST
3115,Other,
3115,Medical Assistance,MAYWOOD ST
3831,Medical Assistance,W BROADWAY
1402,License Violation,
724,Simple Assault,CLARENDON ST
3301,Drug Violation,FENWOOD RD
241,Investigate Person,MORRIS ST
3005,Verbal Disputes,W COTTAGE ST
801,Other,TOPLIFF ST
614,Larceny,W BROADWAY
1102,Vandalism,HYDE PARK AVE
3410,Motor Vehicle Accident Response,MYRTLE ST
3301,Robbery,HOWARD AVE
2905,Simple Assault,
3007,Aggravated Assault,BAKER AVE
3115,Verbal Disputes,CAWFIELD ST
1402,Medical Assistance,PARIS ST
3802,Other,BEACON ST
3301,Motor Vehicle Accident Response,GLADESIDE AVE
3115,Motor Vehicle Accident Response,BOWDOIN ST
3115,Other,GRASSMERE RD
1402,Motor Vehicle Accident Response,SPEEDWELL ST
2670,Vandalism,FREMONT ST
3005,Ballistics,MYSTIC ST
3301,Medical Assistance,TREMONT ST
3005,Investigate Property,GUEST ST
2670,Simple Assault,ANAWAN AVE
801,Verbal Disputes,MANSUR ST
3301,Simple Assault,NEWBURY ST
614,Simple Assault,BROOKLINE AVE
3007,Vandalism,HYDE PARK AVE
3114,Missing Person Located,SLEEPER ST
3301,Motor Vehicle Accident Response,CAMBRIDGE ST
616,Larceny,SAXTON ST
3115,Drug Violation,OSCEOLA ST
1832,Firearm Violations,MASSACHUSETTS AVE
3802,Other,DORCHESTER AVE
3801,Medical Assistance,GENEVA AVE
3802,Towed,
423,Confidence Games,WASHINGTON ST
3114,Missing Person Located,TRULL ST
3301,Missing Person Reported,HOSMER ST
3005,Motor Vehicle Accident Response,NORTHAMPTON ST
3114,Medical Assistance,
3115,Towed,EXETER ST
3301,Fraud,DEERING RD
801,Verbal Disputes,COURTLAND RD
3115,Simple Assault,BLUE HILL AVE
3005,Police Service Incidents,BROADLAWN PARK
3831,Firearm Violations,GEORGETOWNE DR
1832,Recovered Stolen Property,DUDLEY ST
2662,Simple Assault,WOOD AVE
3005,Verbal Disputes,ANTWERP ST
801,Investigate Property,TREMONT ST
3802,Medical Assistance,
423,Verbal Disputes,HARRISHOF ST
423,Towed,
423,Medical Assistance,CAUSEWAY ST
801,Aggravated Assault,AMERICAN LEGION HWY
3410,Medical Assistance,
3501,Warrant Arrests,GREENVILLE ST
801,Simple Assault,WOOD AVE
724,Motor Vehicle Accident Response,
801,Larceny,KERWIN ST
3115,Property Found,STRATTON ST
3005,Property Found,E EIGHTH ST
2670,Motor Vehicle Accident Response,MINOT ST
1402,Verbal Disputes,HARVARD AVE
3301,Investigate Person,CAROL CIR
801,Medical Assistance,RADCLIFFE RD
614,Investigate Person,HARRISON AVE
3115,Medical Assistance,BECKET ST
3114,Investigate Property,CHARLOTTE ST
3301,Investigate Person,HOSMER ST
3301,Investigate Property,STELLMAN RD
3810,Investigate Person,
3301,Simple Assault,ROCKDALE ST
3625,Drug Violation,
3005,Motor Vehicle Accident Response,COMMONWEALTH AVE
3006,Larceny,
3005,Harassment,BRAGDON ST
3114,Missing Person Located,MORTON ST
3005,Investigate Property,MASSACHUSETTS AVE
614,Investigate Property,MARKET ST
3301,Counterfeiting,RIVER ST
614,Larceny,ELM HILL AVE
3301,Motor Vehicle Accident Response,HOLWORTHY ST
3201,Larceny,W BROADWAY
3115,Drug Violation,OXFORD ST
3301,Aggravated Assault,RAYMOND ST
2647,Disorderly Conduct,GIBSON ST
2647,Drug Violation,HYDE PARK AVE
3115,Drug Violation,HEATH ST
3108,Drug Violation,C ST
3301,Drug Violation,KENSINGTON ST
423,Verbal Disputes,DUDLEY ST
3831,Fire Related Reports,GIBSON ST
2662,Larceny,FAUNCE RD
3802,Motor Vehicle Accident Response,
3005,Verbal Disputes,SHAWMUT AVE
801,Verbal Disputes,DUDLEY ST
3007,Property Found,BANCROFT ST
801,Medical Assistance,
423,Verbal Disputes,HARRISHOF ST
3006,Motor Vehicle Accident Response,STANIFORD ST
3803,Motor Vehicle Accident Response,WHITBY ST
3831,Other,
3803,Violations,
619,Larceny,MOUNT VERNON ST
3803,Larceny,WASHINGTON ST
3410,Investigate Person,WHITFIELD ST
3410,Drug Violation,
3807,Larceny,STUART ST
3807,Landlord/Tenant Disputes,HIGHLAND ST
2647,Vandalism,MASSACHUSETTS AVE
520,Investigate Person,DAVISON ST
3811,Other,GIBSON ST
1102,Motor Vehicle Accident Response,HARRISON AVE
3207,Property Lost,COLUMBUS AVE
3115,Larceny,PARLEY AVE
3802,Drug Violation,HARRISON AVE
3018,Drug Violation,
3301,Missing Person Reported,QUINCY ST
3005,Medical Assistance,CAUSEWAY ST
3803,Investigate Person,WILLIAM F MCCLELLAN HWY
801,Investigate Person,CODMAN HILL AVE
614,Investigate Person,MAGAZINE ST
3114,Property Lost,CENTRE ST
3115,Drug Violation,CUMMINS HWY
3110,Landlord/Tenant Disputes,WASHINGTON ST
3207,Robbery,
1402,Fraud,HEATH ST
1102,Verbal Disputes,CENTRE ST
616,Verbal Disputes,HARRISON AVE
3201,Medical Assistance,BROOKLINE AVE
2662,Residential Burglary,VIOLET ST
617,Larceny From Motor Vehicle,WASHINGTON ST
3301,Drug Violation,
801,Drug Violation,WASHINGTON ST
1102,Vandalism,CENTRE ST
3802,Restraining Order Violations,
616,Motor Vehicle Accident Response,HARRISON AVE
616,Fraud,NEW SUDBURY ST
3114,Simple Assault,NEWBURY ST
613,Investigate Person,RIVER ST
3005,Medical Assistance,WEST ST
801,Ballistics,WALNUT AVE
3301,Drug Violation,STANDARD ST
3502,Other,HARRISON AVE
1402,Confidence Games,MERIDIAN ST
2623,Property Lost,PILGRIM RD
614,Other Burglary,WASHINGTON ST
1402,Auto Theft,GIBSON ST
1402,Motor Vehicle Accident Response,HYDE PARK AVE
3301,Fraud,RIDGEWOOD ST
3006,Property Lost,
3831,Confidence Games,HARRISON AVE
2670,Aggravated Assault,PARIS ST
3831,Verbal Disputes,GIBSON ST
617,Investigate Person,GIBSON ST
616,Confidence Games,WASHINGTON ST
1107,Medical Assistance,GIBSON ST
1107,Motor Vehicle Accident Response,GIBSON ST
2670,Vandalism,HYDE PARK AVE
3005,Missing Person Reported,DORCHESTER AVE
619,Auto Theft,WASHINGTON ST
3115,Auto Theft Recovery,GIBSON ST
3005,Simple Assault,HARRISON AVE
616,Medical Assistance,
1402,Motor Vehicle Accident Response,STOCKTON ST
3301,Harassment,FIDELIS WAY
3201,Simple Assault,BLUE HILL AVE
801,Violations,HUDSON ST
3410,Investigate Person,FAYETTE ST
3802,Investigate Person,WESTERN AVE
727,Medical Assistance,PARIS ST
801,Larceny,GENERAL LAWRENCE J LOGAN WAY
3805,Investigate Person,
3831,Larceny,NEW SUDBURY ST
3114,Police Service Incidents,MT PLEASANT TERRACE
3801,Drug Violation,
3410,Search Warrants,E BROADWAY
3410,Firearm Violations,
727,Drug Violation,W BROADWAY
3301,Property Lost,W SELDEN ST
1102,Medical Assistance,CENTRE ST
3831,Investigate Person,BOWDOIN ST
3301,Property Lost,FANEUIL ST
3115,Medical Assistance,PORTER ST
3115,Property Found,VICTORIA HEIGHTS RD
1402,Medical Assistance,HAVRE ST
3410,Medical Assistance,MELCHER ST
2006,Warrant Arrests,WASHINGTON ST
3801,Residential Burglary,
3805,Other,BLUE HILL AVE
3115,Investigate Property,HAMMOND ST
520,Towed,WILDWOOD ST
3106,Medical Assistance,WASHINGTON ST
2647,Larceny,DALE ST
3410,Drug Violation,PRINCE ST
3115,License Violation,PARK DR
3114,Vandalism,BOWDOIN ST
1107,Residential Burglary,W BROADWAY
3126,Motor Vehicle Accident Response,
3005,Aggravated Assault,WASHINGTON ST
3114,Verbal Disputes,MALCOLM X BLVD
3410,Motor Vehicle Accident Response,FLEET ST
614,Larceny,CENTRE ST
3115,Confidence Games,PARIS ST
724,Motor Vehicle Accident Response,HARRISON AVE
3115,Confidence Games,SEAVER ST
3410,Residential Burglary,HARVESTER ST
2647,Medical Assistance,MAGAZINE ST
3410,Larceny,HARVARD TER
2671,Larceny,NEW SUDBURY ST
3410,Property Lost,COPENGER ST
619,Towed,WASHINGTON ST
3831,Medical Assistance,HARRISON AVE
1402,Missing Person Reported,DORCHESTER AVE
614,Other,W BROADWAY
3301,Motor Vehicle Accident Response,WYCLIFF AVE
3502,Simple Assault,WASHINGTON ST
614,Robbery,W BROADWAY
801,Aggravated Assault,FIDELIS WAY
2905,Simple Assault,WASHINGTON ST
2647,Other,WORDSWORTH ST
3114,Verbal Disputes,KENDALL ST
614,Larceny From Motor Vehicle,W BROADWAY
2670,Investigate Person,GIBSON ST
3114,Investigate Person,WORDSWORTH ST
3811,Larceny,
3410,Towed,SARATOGA ST
540,Property Lost,VAN NESS ST
540,Other,KILMARNOCK ST
2007,Other Burglary,EVELYN ST
641,Medical Assistance,NORFOLK ST
423,Motor Vehicle Accident Response,
3114,Motor Vehicle Accident Response,ADAMS ST
3106,Investigate Person,MATCHETT ST
540,Auto Theft,VAN NESS ST
3301,Motor Vehicle Accident Response,WASHINGTON ST
3006,Missing Person Reported,BENTHAM RD
3005,Property Found,N BEACON ST
3115,Other,BRENTWOOD ST
3005,Larceny,RUTLAND SQ
3005,Residential Burglary,CENTRE ST
3301,Towed,GREENWICH ST
724,Police Service Incidents,
801,Motor Vehicle Accident Response,BOYLSTON ST
3301,Other,WASHINGTON ST
801,Drug Violation,
3501,Larceny,PARK ST
3005,Police Service Incidents,BAIRD ST
3126,Investigate Person,TREMONT ST
3301,Aggravated Assault,TREMONT ST
3301,Warrant Arrests,E BROOKLINE ST
3115,Auto Theft,CAWFIELD ST
3005,Larceny,
3301,Other,BOWDOIN ST
301,Property Found,WASHINGTON ST
2670,Other,BURBANK ST
724,Medical Assistance,ESSEX ST
3301,Larceny From Motor Vehicle,GREENMOUNT ST
619,Confidence Games,GIBSON ST
3802,Medical Assistance,BETHUNE WAY
3802,Motor Vehicle Accident Response,
3301,Investigate Property,CLAYBOURNE ST
3301,Motor Vehicle Accident Response,HYDE PARK AVE
3301,Motor Vehicle Accident Response,ELMDALE ST
2403,Investigate Property,COLUMBIA RD
3301,Towed,WALNUT PARK
2662,Vandalism,VESTA RD
801,Vandalism,TOLEDO TERR
619,Vandalism,TURNER ST
3301,Vandalism,WASHINGTON ST
3115,Vandalism,DUNSTABLE ST
3115,Motor Vehicle Accident Response,EUTAW ST
3207,Medical Assistance,CENTRE ST
3005,Other,VFW PKWY
615,Property Found,HARRISON AVE
3115,Motor Vehicle Accident Response,FRUIT ST
724,Fraud,WASHINGTON ST
3501,Larceny From Motor Vehicle,SEAVER ST
3501,Warrant Arrests,WASHINGTON ST
3201,Towed,HARRISON AVE
301,Motor Vehicle Accident Response,
1402,Residential Burglary,NORFOLK ST
3006,Towed,BORDER ST
3005,Property Lost,OLD COLONY AVE
3115,Counterfeiting,KENRICK ST
3115,Property Found,BLUE HILL AVE
3801,Verbal Disputes,COLUMBIA RD
3115,Medical Assistance,BLUE HILL AVE
2610,Larceny,SEAVERNS AVE
3115,Simple Assault,GEORGETOWNE DR
423,Other,HARRISON AVE
3201,Medical Assistance,WASHINGTON ST
3006,Medical Assistance,WILLIAM T MORRISSEY BLVD
3108,License Violation,HULL ST
614,Simple Assault,CHESTERFIELD ST
1832,Drug Violation,HIGHLAND ST
3126,Investigate Person,TEMPLE PL
423,Verbal Disputes,OLD IRONSIDES WAY
3114,Other,TREMONT ST
613,Larceny,WASHINGTON ST
617,Vandalism,HARRISON AVE
1106,Motor Vehicle Accident Response,BLUE HILL AVE
423,Robbery,
1810,Simple Assault,ALBANY ST
1402,Aggravated Assault,BARRY ST
1810,Verbal Disputes,ALBANY ST
2670,Medical Assistance,HARVARD AVE
1402,Other,WASHINGTON ST
2006,Motor Vehicle Accident Response,WENONAH ST
2647,Motor Vehicle Accident Response,DISTRICT AVE
3831,Other,BAKER ST
619,Motor Vehicle Accident Response,HARRISON AVE
2905,Vandalism,CENTRE ST
3006,Ballistics,WABASH ST
