INCIDENT_NUMBER,OFFENSE_CODE_GROUP,OFFENSE_DESCRIPTION,DISTRICT,YEAR,MONTH,HOUR,STREET
212091611,Larceny,TOWED MOTOR VEHICLE,C11,2021,12,8,E COTTAGE ST
212091610,Drug Violation,INVESTIGATE PERSON,D4,2021,12,9,HARRISON AVE
212091609,License Violation,INVESTIGATE PERSON,A1,2021,12,8,TREMONT ST
212091608,Vandalism,ROBBERY,D4,2021,12,0,WASHINGTON ST
212091607,Residential Burglary,INVESTIGATE PROPERTY,C6,2021,12,8,DORCHESTER AVE
212091606,Motor Vehicle Accident Response,M/V - LEAVING SCENE - PROPERTY DAMAGE,B2,2021,12,17,FISHER AVE
212091605,Aggravated Assault,TOWED MOTOR VEHICLE,E13,2021,12,7,MORAINE ST
212091328,Verbal Disputes,FRAUD - IMPERSONATION,D4,2021,12,9,HARRISON AVE
212091604,Motor Vehicle Accident Response,BREAKING AND ENTERING (B&E) MOTOR VEHICLE (NO PROPERTY STOLEN),C6,2021,12,7,E ST
212091602,Larceny,M/V ACCIDENT - POLICE VEHICLE,E13,2021,12,8,CENTRE ST
212091601,Confidence Games,M/V PLATES - LOST,E5,2021,12,18,CENTRE ST
212091600,Motor Vehicle Accident Response,M/V ACCIDENT - PROPERTY DAMAGE,B3,2021,12,8,RIVER ST
212091599,Confidence Games,LARCENY SHOPLIFTING,A1,2021,12,7,CAMBRIDGE ST
212091598,Residential Burglary,LARCENY THEFT FROM MV - NON-ACCESSORY,A15,2021,12,16,VINE ST
212091596,Medical Assistance,VAL - VIOLATION OF AUTO LAW,D4,2021,12,17,COLUMBUS AVE
212091595,Larceny,INVESTIGATE PERSON,A15,2021,12,15,VINE ST
212091594,Larceny,SUDDEN DEATH,B3,2021,12,8,CRAGMERE TER
212091593,Property Lost,PROPERTY - LOST/ MISSING,C6,2021,12,19,W BROADWAY
212091589,Towed,SICK ASSIST,B2,2021,12,7,"SAINT JAMES ST & WASHINGTON ST
ROXBURY  MA 02119
U"
212091588,Medical Assistance,ASSAULT - SIMPLE,C11,2021,12,7,WESTVILLE ST
212091587,Missing Person Reported,DEATH INVESTIGATION,D14,2021,12,6,WASHINGTON ST
212091586,Other,TOWED MOTOR VEHICLE,A15,2021,12,6,COOK ST
212091585,Motor Vehicle Accident Response,TOWED MOTOR VEHICLE,B3,2021,12,4,W SELDEN ST
212091584,Simple Assault,PROPERTY - LOST/ MISSING,External,2021,12,1,BOWKER RD
212091582,Robbery,INVESTIGATE PROPERTY,B2,2021,12,6,KEMBLE ST
212091577,Aggravated Assault,LARCENY THEFT FROM MV - NON-ACCESSORY,B2,2021,12,3,NAZING ST
212091576,Simple Assault,STOLEN PROPERTY - BUYING / RECEIVING / POSSESSING,A1,2021,12,3,AVENUE DE LAFAYETTE
212091574,Other,VANDALISM,B2,2021,12,2,VIRGINIA ST
212091573,Verbal Disputes,SICK ASSIST,E13,2021,12,1,MORTON ST
212091572,Larceny From Motor Vehicle,INVESTIGATE PERSON,A1,2021,12,0,SUDBURY ST
212091570,Investigate Person,BALLISTICS EVIDENCE/FOUND,C11,2021,12,2,COLUMBIA RD
212091563,Investigate Person,INVESTIGATE PROPERTY,E5,2021,12,1,VFW PARKWAY
212091562,Larceny,VERBAL DISPUTE,B2,2021,12,0,SEAVER ST
212091561,Towed,DRUGS - POSSESSION/ SALE/ MANUFACTURING/ USE,A1,2021,12,0,"WASHINGTON ST & WEST ST
BOSTON  MA 02111
UNITED ST"
212091560,Property Lost,INVESTIGATE PROPERTY,B2,2021,12,0,SARGENT ST
212091559,Other,INVESTIGATE PROPERTY,B2,2021,12,0,WARREN ST
212091543,Other Burglary,VAL - OPERATING AFTER REV/SUSP.,B3,2021,12,22,ERIE ST
212091524,Medical Assistance,LARCENY SHOPLIFTING,A1,2021,12,19,WASHINGTON ST
212091506,Motor Vehicle Accident Response,INVESTIGATE PERSON,A1,2021,12,18,SUDBURY ST
212091502,Motor Vehicle Accident Response,HARASSMENT/ CRIMINAL HARASSMENT,A1,2021,12,17,BULFINCH PL
212091391,Investigate Person,LARCENY ALL OTHERS,A15,2021,12,16,VINE ST
212091388,Auto Theft,HARASSMENT/ CRIMINAL HARASSMENT,A1,2021,12,13,SUDBURY ST
212091357,Motor Vehicle Accident Response,INVESTIGATE PERSON,D14,2021,12,11,WARREN ST
212091342,Missing Person Reported,ASSAULT - SIMPLE,D4,2021,12,9,HUNTINGTON AVE
212091340,Property Found,M/V - LEAVING SCENE - PROPERTY DAMAGE,B3,2021,12,10,WABASH ST
212091339,Other,INVESTIGATE PERSON,C6,2021,12,8,BOSTON ST
212091337,Larceny,INVESTIGATE PERSON,C6,2021,12,7,W BROADWAY
212091334,Residential Burglary,LARCENY THEFT FROM MV - NON-ACCESSORY,A7,2021,12,18,SUMNER ST
212091329,Towed,LARCENY ALL OTHERS,B2,2021,12,20,WASHINGTON ST
212006953,Police Service Incidents,TOWED MOTOR VEHICLE,A1,2021,2,16,SUDBURY ST
212091326,Motor Vehicle Accident Response,DRUGS - POSSESSION/ SALE/ MANUFACTURING/ USE,C11,2021,12,6,ASHMONT ST
212091325,Other,INVESTIGATE PROPERTY,B3,2021,12,9,PEACEVALE RD
212091324,Drug Violation,LARCENY THEFT FROM MV - NON-ACCESSORY,B3,2021,12,8,REXFORD ST
212091323,Larceny,LARCENY THEFT FROM MV - NON-ACCESSORY,B2,2021,12,17,WASHINGTON ST
212091321,Police Service Incidents,INVESTIGATE PROPERTY,B3,2021,12,8,BLUE HILL AVE
212091320,Investigate Person,M/V ACCIDENT - PROPERTY DAMAGE,D14,2021,12,8,COMMONWEALTH AVE
212091319,Aggravated Assault,THREATS TO DO BODILY HARM,B3,2021,12,19,BLUE HILL AVE
212091318,Warrant Arrests,M/V ACCIDENT - PROPERTY DAMAGE,D14,2021,12,7,CHESTNUT HILL AVE
212091317,Auto Theft,INVESTIGATE PROPERTY,D4,2021,12,8,NEWBURY ST
212091316,Larceny,LARCENY SHOPLIFTING,C6,2021,12,7,ALLSTATE RD
212091315,Other,WARRANT ARREST - OUTSIDE OF BOSTON WARRANT,C11,2021,12,8,LYON ST
212091314,Property Found,EMBEZZLEMENT,B3,2021,12,0,BLUE HILL AVE
212091312,Other,M/V ACCIDENT - PROPERTY DAMAGE,C11,2021,12,7,"NEPONSET AVE & POPES HILL ST
DORCHESTER  MA 02122
"
212091311,Medical Assistance,M/V ACCIDENT - INVOLVING PEDESTRIAN - INJURY,C11,2021,12,7,"FREEPORT ST & DORCHESTER AVE
DORCHESTER  MA 02125
"
212091310,Larceny From Motor Vehicle,M/V ACCIDENT - PROPERTY DAMAGE,B3,2021,12,7,"OLD RD & GLENWAY ST
DORCHESTER  MA 02121
UNITED ST"
212091309,Confidence Games,M/V ACCIDENT - INVOLVING PEDESTRIAN - INJURY,B2,2021,12,6,FRANCIS ST
212091308,Medical Assistance,FIRE REPORT,D4,2021,12,6,ALBANY ST
212091307,Motor Vehicle Accident Response,ASSAULT - AGGRAVATED,D4,2021,12,5,"COLUMBUS AVE & MASSACHUSETTS AVE
BOSTON  MA 02118
"
212091305,Investigate Property,DRUGS - POSSESSION/ SALE/ MANUFACTURING/ USE,C11,2021,12,6,ASHMONT ST
212091304,Motor Vehicle Accident Response,RECOVERED - MV RECOVERED IN BOSTON (STOLEN OUTSIDE BOSTON),B2,2021,12,3,ANNUNCIATION RD
212091302,Motor Vehicle Accident Response,BURGLARY - RESIDENTIAL,B2,2021,12,5,TREMONT ST
212091298,Investigate Property,WEAPON VIOLATION - CARRY/ POSSESSING/ SALE/ TRAFFICKING/ OTHER,D4,2021,12,4,COMMONWEALTH AVE
212091297,Towed,INVESTIGATE PROPERTY,B2,2021,12,23,"CEDAR ST & THORNTON ST
ROXBURY  MA 02119
UNITED ST"
212091296,Vandalism,VERBAL DISPUTE,B2,2021,12,3,REGENT ST
212091295,Vandalism,VAL - VIOLATION OF AUTO LAW,B2,2021,12,2,"HUMBOLDT AVE & LAUREL ST
ROXBURY  MA 02119
UNITED "
212091294,Vandalism,ASSAULT - SIMPLE,C11,2021,12,2,BOWDOIN ST
212091293,Vandalism,SICK/INJURED/MEDICAL - PERSON,E13,2021,12,23,CENTRE ST
212091291,Vandalism,SICK ASSIST,E13,2021,12,0,BICKFORD ST
212091290,Motor Vehicle Accident Response,VERBAL DISPUTE,B3,2021,12,1,DR. MARY MOORE BEATTY CIR
212091289,Medical Assistance,MISSING PERSON - LOCATED,A1,2021,12,0,"MILK ST & KILBY ST
BOSTON  MA 02109
UNITED STATES"
212091288,Other,M/V - LEAVING SCENE - PROPERTY DAMAGE,B2,2021,12,23,WASHINGTON ST
212091287,Property Found,SICK ASSIST,C6,2021,12,1,LENNON CT
212091286,Motor Vehicle Accident Response,MISSING PERSON - LOCATED,E5,2021,12,17,CENTRE STREET
212091285,Fraud,MISSING PERSON,D14,2021,12,0,ARDEN ST
212089966,Larceny From Motor Vehicle,M/V PLATES - LOST,B2,2021,12,15,WASHINGTON ST
212089965,Warrant Arrests,M/V - LEAVING SCENE - PROPERTY DAMAGE,B2,2021,12,21,WASHINGTON ST
212089963,Towed,SUDDEN DEATH,A15,2021,12,7,SCHOOL ST
212089962,Motor Vehicle Accident Response,SUDDEN DEATH,C11,2021,12,6,WHITTEN ST
212089960,Residential Burglary,M/V ACCIDENT - INVOLVING PEDESTRIAN - INJURY,B2,2021,12,7,VINING ST
212089958,Towed,LARCENY THEFT FROM BUILDING,C11,2021,12,8,GIBSON ST
212089957,Property Lost,LARCENY THEFT FROM MV - NON-ACCESSORY,B2,2021,12,7,ALBANY ST
212089956,Counterfeiting,M/V ACCIDENT - PROPERTY DAMAGE,D4,2021,12,6,"HARRISON AVE & E NEWTON ST
BOSTON  MA 02118
UNITED"
212089953,Property Found,SICK ASSIST,B2,2021,12,5,LINWOOD ST
212089952,Verbal Disputes,INVESTIGATE PERSON,C11,2021,12,4,BARRY ST
212089950,Medical Assistance,LARCENY THEFT FROM MV - NON-ACCESSORY,D4,2021,12,3,"HUNTINGTON AVE & STUART ST
BOSTON  MA 02116
UNITED"
212089948,Larceny,VAL - OPERATING AFTER REV/SUSP.,B2,2021,12,1,"DACIA ST & WOODCLIFF ST
DORCHESTER  MA 02125
UNITE"
212089947,Simple Assault,VAL - VIOLATION OF AUTO LAW,D4,2021,12,2,MASSACHUSETTS AVE
212089946,Other,SICK ASSIST,B3,2021,12,2,CAPEN ST
212089945,Medical Assistance,INVESTIGATE PERSON,E18,2021,12,2,RIVER ST
212089942,Medical Assistance,INVESTIGATE PERSON,C11,2021,12,1,ROCK TER
212089941,License Violation,LARCENY THEFT OF BICYCLE,C6,2021,12,11,EAST EIGHTH STREET
212089939,Simple Assault,INVESTIGATE PERSON,D4,2021,12,0,WASHINGTON ST
212089938,Drug Violation,PROPERTY - LOST/ MISSING,D14,2021,12,1,GARDNER ST
212089937,Investigate Person,BURGLARY - RESIDENTIAL,E13,2021,12,0,SOUTH ST
212089936,Verbal Disputes,INVESTIGATE PERSON,C11,2021,12,0,BARRY ST
212089935,Other,DEATH INVESTIGATION,B3,2021,12,23,TALBOT AVE
212089933,Larceny,M/V ACCIDENT - PERSONAL INJURY,D14,2021,12,15,KENRICK ST
212089932,Vandalism,INVESTIGATE PROPERTY,B2,2021,12,23,AVENUE LOUIS PASTEUR
212089929,Motor Vehicle Accident Response,LARCENY THEFT OF BICYCLE,D4,2021,12,23,NEWBURY ST
212089928,Robbery,DRUGS - POSSESSION/ SALE/ MANUFACTURING/ USE,A1,2021,12,22,TREMONT ST
212089927,Simple Assault,ASSAULT - SIMPLE,C6,2021,12,22,SOUTH POINT DR
212089925,Aggravated Assault,INVESTIGATE PROPERTY,B3,2021,12,22,YORK ST
212089924,Verbal Disputes,DRUGS - POSSESSION/ SALE/ MANUFACTURING/ USE,C6,2021,12,22,SOUTHAMPTON ST
212089922,Medical Assistance,LARCENY THEFT OF MV PARTS & ACCESSORIES,B2,2021,12,15,WASHINGTON ST
212089921,Other,VANDALISM,B2,2021,12,22,FRAWLEY ST
212089918,Motor Vehicle Accident Response,INVESTIGATE PERSON,E13,2021,12,22,WALNUT PARK
212089917,Motor Vehicle Accident Response,ASSAULT - SIMPLE,B2,2021,12,21,WARREN ST
212089916,Other,SICK ASSIST,C6,2021,12,22,GOLD ST
212089915,Motor Vehicle Accident Response,MISSING PERSON - LOCATED,C11,2021,12,21,IOWA ST
212089914,Vandalism,VAL - VIOLATION OF AUTO LAW,C11,2021,12,20,HOWE ST
212089808,Ballistics,ASSAULT - SIMPLE,C11,2021,12,15,GAYLORD ST
212089806,Medical Assistance,THREATS TO DO BODILY HARM,B2,2021,12,15,"HUMBOLDT AVE & HUTCHINGS ST
ROXBURY  MA 02121
UNIT"
212089805,Investigate Property,PROPERTY - LOST/ MISSING,E5,2021,12,23,CENTRE ST
212089804,Simple Assault,M/V - LEAVING SCENE - PROPERTY DAMAGE,D4,2021,12,14,NEWBURY ST
212089803,Verbal Disputes,SICK ASSIST,B3,2021,12,14,CEDAR ST
212089802,Simple Assault,FRAUD - CREDIT CARD / ATM FRAUD,D14,2021,12,13,WASHINGTON ST
212089801,Simple Assault,MISSING PERSON - NOT REPORTED - LOCATED,C11,2021,12,15,GIBSON ST
212089800,Vandalism,FRAUD - FALSE PRETENSE / SCHEME,A1,2021,12,0,NEW SUDBURY ST
212089799,Missing Person Located,M/V ACCIDENT - OTHER,E5,2021,12,14,CENTRE ST
212089798,Motor Vehicle Accident Response,INVESTIGATE PERSON,D14,2021,12,15,WESTERN AVE
212089796,Larceny,HARASSMENT/ CRIMINAL HARASSMENT,A15,2021,8,23,VINE ST
212089795,Drug Violation,LANDLORD - TENANT,A1,2021,12,14,EMERSON PL
212089794,Firearm Violations,M/V - LEAVING SCENE - PROPERTY DAMAGE,B3,2021,12,14,BLUE HILL AVE
212089793,Other,FRAUD - FALSE PRETENSE / SCHEME,B3,2021,12,15,OSPREY WAY
212089792,Medical Assistance,INVESTIGATE PERSON,B3,2021,12,13,GLENWAY ST
212089791,Towed,VAL - OPERATING AFTER REV/SUSP.,D4,2021,12,14,WASHINGTON ST
212089790,Confidence Games,INVESTIGATE PROPERTY,C11,2021,12,7,LITHGOW STREET
212089789,Missing Person Located,ASSAULT - SIMPLE,B2,2021,12,13,HOLBORN ST
212089788,Missing Person Reported,M/V - LEAVING SCENE - PROPERTY DAMAGE,C11,2021,12,14,GIBSON ST
212089787,Motor Vehicle Accident Response,VAL - OPERATING AFTER REV/SUSP.,C11,2021,12,14,TALBOT AVE
212089785,Medical Assistance,ASSAULT - AGGRAVATED,E5,2021,12,14,RIVERMOOR STREET
212089784,Towed,VAL - VIOLATION OF AUTO LAW,C11,2021,12,13,FULLER ST
212089783,Fraud,ASSAULT - AGGRAVATED,A7,2021,12,14,BENNINGTON ST
212089782,Verbal Disputes,M/V PLATES - LOST,C11,2021,12,0,GIBSON ST
212089781,Simple Assault,SICK ASSIST,A1,2021,12,13,"BEACON ST & RIVER ST
BOSTON  MA 02116
UNITED STATE"
212089780,Police Service Incidents,LARCENY ALL OTHERS,A1,2021,11,17,NEW SUDBURY ST
212089779,Firearm Violations,ASSAULT - SIMPLE,B3,2021,12,13,ASPINWALL RD
212089778,Recovered Stolen Property,M/V ACCIDENT - PROPERTY DAMAGE,C11,2021,12,13,"PLEASANT ST & TRESCOTT ST
DORCHESTER  MA 02125
UNI"
212089777,Simple Assault,SICK ASSIST - DRUG RELATED ILLNESS,A1,2021,12,11,COURT ST
212083883,Verbal Disputes,VANDALISM,D14,2021,11,21,CAMBRIDGE STREET
212089776,Investigate Property,LARCENY THEFT FROM MV - NON-ACCESSORY,D4,2021,12,13,HARRISON AVE
212089774,Medical Assistance,VANDALISM,C11,2021,12,4,GIBSON ST
212089773,Verbal Disputes,TOWED MOTOR VEHICLE,D4,2021,12,12,SAINT BOTOLPH ST
212089770,Towed,FRAUD - IMPERSONATION,B2,2021,12,13,WASHINGTON ST
212089768,Medical Assistance,SICK ASSIST,A1,2021,12,12,ATLANTIC AVE
212089766,Aggravated Assault,LARCENY SHOPLIFTING,D4,2021,12,11,HUNTINGTON AVE
212089764,Medical Assistance,M/V - LEAVING SCENE - PROPERTY DAMAGE,B2,2021,12,9,WASHINGTON ST
212089763,Warrant Arrests,M/V ACCIDENT - OTHER,C11,2021,12,11,GIBSON ST
212089762,Simple Assault,INVESTIGATE PERSON,B2,2021,12,11,DUDLEY ST
212089761,Motor Vehicle Accident Response,THREATS TO DO BODILY HARM,A7,2021,12,12,WORDSWORTH STREET
212089758,Larceny,SICK/INJURED/MEDICAL - PERSON,D4,2021,12,12,W CANTON ST
212092240,Property Found,INVESTIGATE PERSON,E13,2021,12,10,COLUMBUS AVE
212092239,Property Found,THREATS TO DO BODILY HARM,C11,2021,12,10,REGINA RD
212092238,Motor Vehicle Accident Response,INVESTIGATE PERSON,B3,2021,12,10,FLOYD ST
212092237,Verbal Disputes,ROBBERY,A7,2021,12,10,WEBSTER ST
212092236,Investigate Person,SICK ASSIST,D4,2021,12,10,DALTON ST
212092235,Medical Assistance,INVESTIGATE PERSON,C6,2021,12,10,SOUTHAMPTON ST
212092234,Investigate Person,LARCENY SHOPLIFTING,A1,2021,12,8,HANOVER ST
212092233,Medical Assistance,LARCENY THEFT FROM BUILDING,A1,2021,12,0,SUDBURY ST
212092232,Investigate Property,SICK/INJURED/MEDICAL - PERSON,A15,2021,12,10,PERKINS ST
212092231,Investigate Person,M/V - LEAVING SCENE - PROPERTY DAMAGE,C11,2021,12,18,GIBSON ST
212092230,Investigate Property,MISSING PERSON - LOCATED,B2,2021,12,9,JULIAN ST
212092228,Investigate Person,INVESTIGATE PERSON,C11,2021,12,9,WASHINGTON ST
212092227,Simple Assault,M/V - LEAVING SCENE - PROPERTY DAMAGE,D14,2021,12,7,WASHINGTON ST
212092226,Drug Violation,FRAUD - IMPERSONATION,A7,2021,12,10,MERIDIAN ST
212092224,Motor Vehicle Accident Response,INVESTIGATE PERSON,B3,2021,12,9,OUTLOOK RD
212092222,Larceny,SEARCH WARRANT,E13,2021,12,10,COLUMBUS AVE
212092221,Harassment,PROPERTY - LOST/ MISSING,B2,2021,12,18,WASHINGTON ST
212092220,Missing Person Located,SICK ASSIST,C6,2021,12,8,DORCHESTER AVE
212092219,Investigate Property,PROPERTY - LOST/ MISSING,D14,2021,11,0,WASHINGTON ST
212092218,Investigate Property,M/V ACCIDENT - INVOLVING PEDESTRIAN - INJURY,E5,2021,12,9,"CENTRE ST & HASTINGS ST
WEST ROXBURY  MA 02132
UNI"
212092217,Counterfeiting,LARCENY THEFT FROM BUILDING,C11,2021,12,8,GIBSON ST
212092216,Larceny,VANDALISM,C11,2021,12,15,ADAMS ST
212092215,Motor Vehicle Accident Response,INVESTIGATE PROPERTY,E18,2021,12,9,RIVER ST
212092214,Larceny,BALLISTICS EVIDENCE/FOUND,B2,2021,12,9,MALCOLM X BLVD
212092213,Drug Violation,PROPERTY - FOUND,C11,2021,12,9,"BOWDOIN ST & QUINCY ST
BOSTON  MA 02122
UNITED STA"
212092212,Aggravated Assault,TOWED MOTOR VEHICLE,B2,2021,12,8,SHAWMUT AVE
212092211,Disorderly Conduct,ASSAULT - SIMPLE,E5,2021,12,7,WASHINGTON ST
212092210,Drug Violation,M/V - LEAVING SCENE - PROPERTY DAMAGE,C11,2021,12,8,DORCHESTER AVE
212092208,Drug Violation,RECOVERED - MV RECOVERED IN BOSTON (STOLEN OUTSIDE BOSTON),B3,2021,12,7,CAPEN ST
212092207,Drug Violation,PROPERTY - LOST/ MISSING,C11,2021,12,12,GIBSON ST
20021670,Drug Violation,LARCENY SHOPLIFTING,D4,2021,5,17,HARRISON AVENUE
201906722,Verbal Disputes,TRESPASSING,,2021,6,18,WESLEYAN PLACE
121094465,Fire Related Reports,PROPERTY - LOST/ MISSING,B2,2021,12,23,WASHINGTON ST
121090532,Larceny,SICK ASSIST,E18,2021,12,6,GORDON AVE
121069865,Motor Vehicle Accident Response,LARCENY THEFT FROM BUILDING,C6,2021,9,11,WEST BROADWAY
121055112,Verbal Disputes,PROPERTY - LOST/ MISSING,E13,2021,8,21,WASHINGTON ST
121033495,Verbal Disputes,DISTURBING THE PEACE/ DISORDERLY CONDUCT/ GATHERING CAUSING ANNOYANCE/ NOISY PAR,C6,2021,5,15,SOUTHAMPTON ST
121016052,Property Found,M/V - LEAVING SCENE - PROPERTY DAMAGE,C11,2021,3,9,DORCHESTER AVE
121005808,Medical Assistance,FRAUD - FALSE PRETENSE / SCHEME,B3,2021,1,12,CLARKWOOD ST
121000816,Verbal Disputes,NOISY PARTY/RADIO-NO ARREST,E5,2021,1,0,BRADFIELD AVENUE
120221042,Motor Vehicle Accident Response,SICK/INJURED/MEDICAL - PERSON,E5,2021,4,10,WASHINGTON ST
10637224,Motor Vehicle Accident Response,WARRANT ARREST - BOSTON WARRANT (MUST BE SUPPLEMENTAL),D4,2021,1,18,NORTHAMPTON ST
23844463,Other,INVESTIGATE PERSON,C6,2021,10,1,"G ST & E 8TH ST
BOSTON  MA 02127
UNITED STATES"
S97333701,Violations,VERBAL DISPUTE,C6,2020,7,14,MARY BOYLE WAY
S47513131,Larceny,THREATS TO DO BODILY HARM,E18,2020,6,10,READVILLE ST
I20233365,Larceny,M/V - LEAVING SCENE - PROPERTY DAMAGE,B2,2020,5,9,DUDLEY ST
I20219259,Investigate Person,LARCENY ALL OTHERS,C11,2020,3,11,BOWDOIN ST
I20210846,Drug Violation,PROPERTY - LOST/ MISSING,C6,2020,2,0,SEAPORT BLVD
I20207994,Larceny,PROPERTY - FOUND,A15,2020,4,13,MAIN ST
I20207883,Landlord/Tenant Disputes,INVESTIGATE PERSON,C6,2020,4,17,OLD COLONY AVE
I20205924,Vandalism,VERBAL DISPUTE,E5,2020,7,3,EDGEMERE RD
I20204749,Investigate Person,LARCENY THEFT FROM BUILDING,A1,2020,7,9,CHARLES ST
I20204738,Other,SICK ASSIST,E18,2020,4,8,CUMMINS HWY
I20204681,Motor Vehicle Accident Response,HARASSMENT/ CRIMINAL HARASSMENT,A1,2020,7,14,LONGFELLOW PL
I20204430,Property Lost,LARCENY SHOPLIFTING,A1,2020,6,12,WASHINGTON ST
I20204394,Larceny,THREATS TO DO BODILY HARM,A1,2020,6,10,PARK PLZ
I20204310,Drug Violation,HARASSMENT/ CRIMINAL HARASSMENT,E5,2020,4,11,CENTRE ST
I20204246,Drug Violation,VANDALISM,E13,2020,1,16,SOUTH ST
I20204093,Missing Person Reported,M/V ACCIDENT - PROPERTY DAMAGE,B3,2020,6,6,WHITFIELD ST
I20203469,Medical Assistance,TOWED MOTOR VEHICLE,A15,2020,3,0,TREMONT ST
I20203359,Investigate Person,SICK ASSIST,A1,2020,5,7,WASHINGTON ST
I20203113,Investigate Person,ASSAULT - SIMPLE,B2,2020,3,22,BLUE HILL AVE
I20202900,Investigate Person,VANDALISM,E18,2020,4,9,RIVER ST
I20201723,Property Lost,VAL - OPERATING AFTER REV/SUSP.,E5,2020,3,10,WASHINGTON ST
I20201619,Drug Violation,SICK/INJURED/MEDICAL - POLICE,C11,2020,3,21,HANCOCK ST
I20200718,Landlord/Tenant Disputes,PROPERTY - LOST/ MISSING,E13,2020,1,12,WASHINGTON ST
I20200024,Robbery,M/V ACCIDENT - PERSONAL INJURY,D14,2020,1,7,
I20000994,Fraud,SICK ASSIST,A7,2020,1,17,MERIDIAN ST
202053882,Verbal Disputes,ASSAULT - AGGRAVATED,C11,2020,7,0,ALTHEA ST
202053881,Verbal Disputes,VERBAL DISPUTE,C11,2020,7,22,BOUTWELL ST
202053880,Medical Assistance,INVESTIGATE PROPERTY,B3,2020,7,23,
202053879,Residential Burglary,BURGLARY - RESIDENTIAL,D14,2020,7,23,BROCK ST
202053825,Larceny From Motor Vehicle,ASSAULT - AGGRAVATED,C6,2020,7,19,DORCHESTER ST
202053824,Drug Violation,DEATH INVESTIGATION,D14,2020,7,19,WAVERLY ST
202053822,Drug Violation,INVESTIGATE PERSON,C11,2020,7,19,GENEVA AVE
202053821,Vandalism,PROPERTY - LOST/ MISSING,A7,2020,7,18,PARIS ST
202053766,Restraining Order Violations,VANDALISM,D14,2020,7,1,GARDNER ST
202053765,Motor Vehicle Accident Response,LARCENY SHOPLIFTING,A1,2020,7,15,WASHINGTON ST
202053764,Fraud,ASSAULT - AGGRAVATED,C11,2020,7,16,BULLARD ST
202053763,Simple Assault,M/V ACCIDENT - OTHER,B2,2020,7,16,
202053762,Investigate Person,FRAUD - IMPERSONATION,B2,2020,7,15,COPELAND ST
202053761,Medical Assistance,M/V ACCIDENT - OTHER,B2,2020,7,15,COLUMBUS AVE
202053659,Ballistics,INVESTIGATE PERSON,D4,2020,7,9,THORNDIKE ST
202053658,Drug Violation,FRAUD - IMPERSONATION,D4,2020,7,9,BEACON ST
202053657,Other,TOWED MOTOR VEHICLE,A1,2020,7,8,BATTERY ST
202053656,Confidence Games,ASSAULT - AGGRAVATED,C11,2020,7,8,DORCHESTER AVE
202053653,Property Lost,VANDALISM,B3,2020,7,16,BLUE HILL AVE
202053652,Other Burglary,PROPERTY - FOUND,E5,2020,7,8,CENTRE ST
202053651,Auto Theft,M/V PLATES - LOST,C11,2020,7,15,GIBSON ST
202053650,Motor Vehicle Accident Response,TOWED MOTOR VEHICLE,B2,2020,7,8,SEAVER ST
202053649,Fraud,PROPERTY - LOST/ MISSING,B2,2020,7,14,WASHINGTON ST
202053648,Property Lost,TOWED MOTOR VEHICLE,A1,2020,7,7,HAWKINS ST
202053595,Confidence Games,INVESTIGATE PROPERTY,B3,2020,7,22,WILCOCK ST
202053594,Aggravated Assault,M/V - LEAVING SCENE - PERSONAL INJURY,B2,2020,7,23,
202053593,Verbal Disputes,ASSAULT - SIMPLE,E5,2020,7,23,BROOKWAY RD
202053592,Investigate Person,VERBAL DISPUTE,B2,2020,7,23,DEWITT DR
202053591,Confidence Games,VERBAL DISPUTE,B2,2020,7,23,SEAVER ST
202053590,Medical Assistance,SICK ASSIST,A1,2020,7,22,
202053589,Motor Vehicle Accident Response,VERBAL DISPUTE,E18,2020,7,22,NEPONSET AVE
202053533,Vandalism,SICK/INJURED/MEDICAL - PERSON,A1,2020,7,17,HUDSON ST
202053532,Missing Person Reported,FIRE REPORT,B3,2020,7,16,PARK ST
202053531,Auto Theft,VERBAL DISPUTE,C11,2020,7,18,COLUMBIA RD
202053530,Auto Theft Recovery,INVESTIGATE PERSON,D14,2020,7,17,ETNA ST
202053529,Simple Assault,AUTO THEFT,B2,2020,7,18,HUMBOLDT AVE
202053528,Medical Assistance,VERBAL DISPUTE,B2,2020,7,17,ANNUNCIATION RD
202053527,Motor Vehicle Accident Response,INVESTIGATE PROPERTY,B2,2020,7,18,WASHINGTON ST
202053471,Harassment,FRAUD - IMPERSONATION,A1,2020,7,12,NEW SUDBURY ST
202053470,Simple Assault,TRESPASSING,A1,2020,7,14,WASHINGTON ST
202053469,Violations,PROPERTY - LOST/ MISSING,A15,2020,7,12,VINE ST
202053360,Investigate Person,ASSAULT - AGGRAVATED,C11,2020,7,21,NEPONSET AVE
202053359,Investigate Person,SICK ASSIST,C11,2020,7,8,FULLER ST
202053358,Medical Assistance,VANDALISM,C11,2020,7,12,EVERTON ST
202050756,Larceny,THREATS TO DO BODILY HARM,C6,2020,7,11,LOGAN WAY
202050620,Investigate Person,VERBAL DISPUTE,C11,2020,7,20,
202046778,Larceny,VERBAL DISPUTE,E5,2020,7,12,WEST ROXBURY PKWY
202046729,Police Service Incidents,ASSAULT - AGGRAVATED,B3,2020,7,8,
202043489,Drug Violation,SICK ASSIST,C11,2020,6,16,
202042434,Search Warrants,VAL - VIOLATION OF AUTO LAW,D4,2020,6,17,COMM
