INCIDENT_NUMBER,OFFENSE_CODE,OFFENSE_CODE_GROUP,OFFENSE_DESCRIPTION,DISTRICT,REPORTING_AREA,SHOOTING,OCCURRED_ON_DATE,YEAR,MONTH,DAY_OF_WEEK,HOUR,UCR_PART,STREET,Lat,Long,Location
212092221,3201,Harassment,PROPERTY - LOST/ MISSING,B2,282,0,12/16/2021 18:00,2021,12,Thursday,18,,WASHINGTON ST,42.32866284,-71.08563401,"(42.32866283555608, -71.08563401183545)"
212092220,3005,Missing Person Located,SICK ASSIST,C6,194,0,12/17/2021 8:42,2021,12,Friday,8,,DORCHESTER AVE,42.33063626,-71.05696207,"(42.33063626064344, -71.05696207318768)"
212092219,3201,Investigate Property,PROPERTY - LOST/ MISSING,D14,778,0,11/12/2021 0:00,2021,11,Friday,0,,WASHINGTON ST,42.349056,-71.1504985,"(42.34905600030506, -71.15049849975023)"
212092218,3820,Investigate Property,M/V ACCIDENT - INVOLVING PEDESTRIAN - INJURY,E5, ,0,12/17/2021 9:56,2021,12,Friday,9,,"CENTRE ST & HASTINGS ST
WEST ROXBURY  MA 02132
UNI",42.285673,-71.15584795,"(42.28567300039531, -71.15584795100841)"
212092217,617,Counterfeiting,LARCENY THEFT FROM BUILDING,C11,355,0,12/16/2021 8:30,2021,12,Thursday,8,,GIBSON ST,42.29755533,-71.0597091,"(42.29755532959655, -71.05970910242573)"
212092216,1402,Larceny,VANDALISM,C11, ,0,12/16/2021 15:00,2021,12,Thursday,15,,ADAMS ST,42.30092795,-71.05942982,"(42.30092795337345, -71.05942982220625)"
212092215,3114,Motor Vehicle Accident Response,INVESTIGATE PROPERTY,E18, ,0,12/17/2021 9:39,2021,12,Friday,9,,RIVER ST,42.26194848,-71.10971613,"(42.26194848155656, -71.1097161253539)"
212092214,2662,Larceny,BALLISTICS EVIDENCE/FOUND,B2, ,0,12/17/2021 9:58,2021,12,Friday,9,,MALCOLM X BLVD,42.33123776,-71.09140736,"(42.331237755852904, -71.09140736221293)"
212092213,3207,Drug Violation,PROPERTY - FOUND,C11, ,0,12/17/2021 9:30,2021,12,Friday,9,,"BOWDOIN ST & QUINCY ST
BOSTON  MA 02122
UNITED STA",42.30803001,-71.06511998,"(42.308030007956226, -71.06511998478953)"
212092212,3410,Aggravated Assault,TOWED MOTOR VEHICLE,B2,287,0,12/17/2021 8:10,2021,12,Friday,8,,SHAWMUT AVE,42.33192532,-71.08411222,"(42.331925323407006, -71.08411221708074)"
212092211,801,Disorderly Conduct,ASSAULT - SIMPLE,E5, ,0,12/17/2021 7:51,2021,12,Friday,7,,WASHINGTON ST,42.26716726,-71.15073491,"(42.26716725505801, -71.15073491192315)"
212092210,3831,Drug Violation,M/V - LEAVING SCENE - PROPERTY DAMAGE,C11, ,0,12/17/2021 8:28,2021,12,Friday,8,,DORCHESTER AVE,42.30854728,-71.05821219,"(42.308547278274865, -71.05821219121829)"
212092208,735,Drug Violation,RECOVERED - MV RECOVERED IN BOSTON (STOLEN OUTSIDE BOSTON),B3,418,0,12/17/2021 7:22,2021,12,Friday,7,,CAPEN ST,42.28079417,-71.07882205,"(42.28079417076534, -71.07882204669522)"
212092207,3201,Drug Violation,PROPERTY - LOST/ MISSING,C11,355,0,12/16/2021 12:00,2021,12,Thursday,12,,GIBSON ST,42.29755533,-71.0597091,"(42.29755532959655, -71.05970910242573)"
20021670,613,Drug Violation,LARCENY SHOPLIFTING,D4,270,0,5/7/2021 17:02,2021,5,Friday,17,,HARRISON AVENUE,0,0,"(0, 0)"
201906722,2610,Verbal Disputes,TRESPASSING,, ,0,6/13/2021 18:23,2021,6,Sunday,18,,WESLEYAN PLACE,0,0,"(0, 0)"
121094465,3201,Fire Related Reports,PROPERTY - LOST/ MISSING,B2,282,0,12/23/2021 23:45,2021,12,Thursday,23,,WASHINGTON ST,42.32866284,-71.08563401,"(42.32866283555608, -71.08563401183545)"
121090532,3005,Larceny,SICK ASSIST,E18, ,0,12/11/2021 6:30,2021,12,Saturday,6,,GORDON AVE,0,0,"(0, 0)"
121069865,617,Motor Vehicle Accident Response,LARCENY THEFT FROM BUILDING,C6, ,0,9/28/2021 11:20,2021,9,Tuesday,11,,WEST BROADWAY,0,0,"(0, 0)"
121055112,3201,Verbal Disputes,PROPERTY - LOST/ MISSING,E13,574,0,8/7/2021 21:45,2021,8,Saturday,21,,WASHINGTON ST,42.30971857,-71.10429432,"(42.30971856767274, -71.10429431787648)"
121033495,2403,Verbal Disputes,DISTURBING THE PEACE/ DISORDERLY CONDUCT/ GATHERING CAUSING ANNOYANCE/ NOISY PAR,C6,175,0,5/21/2021 15:47,2021,5,Friday,15,,SOUTHAMPTON ST,42.33210843,-71.07014395,"(42.332108429494895, -71.07014394813551)"
121016052,3831,Property Found,M/V - LEAVING SCENE - PROPERTY DAMAGE,C11,347,0,3/13/2021 9:10,2021,3,Saturday,9,,DORCHESTER AVE,42.30728941,-71.05849912,"(42.30728940591949, -71.05849912405918)"
121005808,1102,Medical Assistance,FRAUD - FALSE PRETENSE / SCHEME,B3,289,0,1/19/2021 12:00,2021,1,Tuesday,12,,CLARKWOOD ST,42.33367922,-71.09187755,"(42.33367921810846, -71.09187754618458)"
121000816,3304,Verbal Disputes,NOISY PARTY/RADIO-NO ARREST,E5,675,0,1/4/2021 0:00,2021,1,Monday,0,,BRADFIELD AVENUE,0,0,"(0, 0)"
120221042,3006,Motor Vehicle Accident Response,SICK/INJURED/MEDICAL - PERSON,E5,680,0,4/2/2021 10:45,2021,4,Friday,10,,WASHINGTON ST,42.28390244,-71.13086263,"(42.283902436483125, -71.13086262643496)"
10637224,3125,Motor Vehicle Accident Response,WARRANT ARREST - BOSTON WARRANT (MUST BE SUPPLEMENTAL),D4,270,0,1/26/2021 18:54,2021,1,Tuesday,18,,NORTHAMPTON ST,42.33395125,-71.07538939,"(42.333951248393774, -71.07538938822692)"
23844463,3115,Other,INVESTIGATE PERSON,C6, ,0,10/16/2021 1:16,2021,10,Saturday,1,,"G ST & E 8TH ST
BOSTON  MA 02127
UNITED STATES",42.33132004,-71.04407996,"(42.33132003900925, -71.04407996166562)"
S97333701,3301,Violations,VERBAL DISPUTE,C6,915,0,7/18/2020 14:34,2020,7,Saturday,14,,MARY BOYLE WAY,42.330813,-71.051368,"(42.33081300, -71.05136800)"
S47513131,2647,Larceny,THREATS TO DO BODILY HARM,E18,530,0,6/24/2020 10:15,2020,6,Wednesday,10,,READVILLE ST,42.239491,-71.135954,"(42.23949100, -71.13595400)"
I20233365,3831,Larceny,M/V - LEAVING SCENE - PROPERTY DAMAGE,B2, ,0,5/14/2020 9:15,2020,5,Thursday,9,,DUDLEY ST,42.317354,-71.065829,"(42.31735400, -71.06582900)"
I20219259,619,Investigate Person,LARCENY ALL OTHERS,C11,340,0,3/10/2020 11:49,2020,3,Tuesday,11,,BOWDOIN ST,42.30648,-71.066757,"(42.30648000, -71.06675700)"
I20210846,3201,Drug Violation,PROPERTY - LOST/ MISSING,C6,206,0,2/9/2020 0:30,2020,2,Sunday,0,,SEAPORT BLVD,42.352756,-71.047481,"(42.35275600, -71.04748100)"
I20207994,3207,Larceny,PROPERTY - FOUND,A15,60,0,4/19/2020 13:30,2020,4,Sunday,13,,MAIN ST,42.3738,-71.062903,"(42.37380000, -71.06290300)"
I20207883,3115,Landlord/Tenant Disputes,INVESTIGATE PERSON,C6,914,0,4/18/2020 17:11,2020,4,Saturday,17,,OLD COLONY AVE,42.325573,-71.052481,"(42.32557300, -71.05248100)"
I20205924,3301,Vandalism,VERBAL DISPUTE,E5,822,0,7/19/2020 3:10,2020,7,Sunday,3,,EDGEMERE RD,42.258676,-71.151164,"(42.25867600, -71.15116400)"
I20204749,617,Investigate Person,LARCENY THEFT FROM BUILDING,A1,66,0,7/6/2020 9:45,2020,7,Monday,9,,CHARLES ST,42.359132,-71.070743,"(42.35913200, -71.07074300)"
I20204738,3005,Other,SICK ASSIST,E18,481,0,4/3/2020 8:09,2020,4,Friday,8,,CUMMINS HWY,42.269392,-71.096843,"(42.26939200, -71.09684300)"
I20204681,2670,Motor Vehicle Accident Response,HARASSMENT/ CRIMINAL HARASSMENT,A1,63,0,7/3/2020 14:00,2020,7,Friday,14,,LONGFELLOW PL,42.363565,-71.064493,"(42.36356500, -71.06449300)"
I20204430,613,Property Lost,LARCENY SHOPLIFTING,A1,103,0,6/24/2020 12:25,2020,6,Wednesday,12,,WASHINGTON ST,42.3568,-71.05893,"(42.35680000, -71.05893000)"
I20204394,2647,Larceny,THREATS TO DO BODILY HARM,A1,120,0,6/23/2020 10:00,2020,6,Tuesday,10,,PARK PLZ,42.351627,-71.068664,"(42.35162700, -71.06866400)"
I20204310,2670,Drug Violation,HARASSMENT/ CRIMINAL HARASSMENT,E5,691,0,4/1/2020 11:30,2020,4,Wednesday,11,,CENTRE ST,42.287093,-71.148221,"(42.28709300, -71.14822100)"
I20204246,1402,Drug Violation,VANDALISM,E13,646,0,1/16/2020 16:30,2020,1,Thursday,16,,SOUTH ST,42.309764,-71.115412,"(42.30976400, -71.11541200)"
I20204093,3802,Missing Person Reported,M/V ACCIDENT - PROPERTY DAMAGE,B3,448,0,6/12/2020 6:30,2020,6,Friday,6,,WHITFIELD ST,42.293469,-71.075125,"(42.29346900, -71.07512500)"
I20203469,3410,Medical Assistance,TOWED MOTOR VEHICLE,A15,41,0,3/28/2020 0:00,2020,3,Saturday,0,,TREMONT ST,42.375962,-71.057472,"(42.37596200, -71.05747200)"
I20203359,3005,Investigate Person,SICK ASSIST,A1,102,0,5/14/2020 7:33,2020,5,Thursday,7,,WASHINGTON ST,42.355919,-71.060005,"(42.35591900, -71.06000500)"
I20203113,801,Investigate Person,ASSAULT - SIMPLE,B2,330,0,3/25/2020 22:00,2020,3,Wednesday,22,,BLUE HILL AVE,42.304339,-71.084778,"(42.30433900, -71.08477800)"
I20202900,1402,Investigate Person,VANDALISM,E18,533,0,4/24/2020 9:00,2020,4,Friday,9,,RIVER ST,42.248865,-71.131222,"(42.24886500, -71.13122200)"
I20201723,2907,Property Lost,VAL - OPERATING AFTER REV/SUSP.,E5,711,0,3/3/2020 10:33,2020,3,Tuesday,10,,WASHINGTON ST,42.265925,-71.152127,"(42.26592500, -71.15212700)"
I20201619,3018,Drug Violation,SICK/INJURED/MEDICAL - POLICE,C11,257,0,3/19/2020 21:00,2020,3,Thursday,21,,HANCOCK ST,42.310433,-71.06134,"(42.31043300, -71.06134000)"
I20200718,3201,Landlord/Tenant Disputes,PROPERTY - LOST/ MISSING,E13,574,0,1/25/2020 12:00,2020,1,Saturday,12,,WASHINGTON ST,42.309718,-71.104294,"(42.30971800, -71.10429400)"
I20200024,3803,Robbery,M/V ACCIDENT - PERSONAL INJURY,D14, ,0,1/2/2020 7:00,2020,1,Thursday,7,,,42.350341,-71.147864,"(42.35034100, -71.14786400)"
I20000994,3005,Fraud,SICK ASSIST,A7,28,0,1/4/2020 17:50,2020,1,Saturday,17,,MERIDIAN ST,42.371005,-71.038976,"(42.37100500, -71.03897600)"
202053882,423,Verbal Disputes,ASSAULT - AGGRAVATED,C11, ,0,7/30/2020 0:28,2020,7,Thursday,0,,ALTHEA ST,,,"(0.00000000, 0.00000000)"
202053881,3301,Verbal Disputes,VERBAL DISPUTE,C11, ,0,7/29/2020 22:43,2020,7,Wednesday,22,,BOUTWELL ST,,,"(0.00000000, 0.00000000)"
202053880,3114,Medical Assistance,INVESTIGATE PROPERTY,B3, ,1,7/29/2020 23:16,2020,7,Wednesday,23,,,,,"(0.00000000, 0.00000000)"
202053879,520,Residential Burglary,BURGLARY - RESIDENTIAL,D14, ,0,7/29/2020 23:34,2020,7,Wednesday,23,,BROCK ST,,,"(0.00000000, 0.00000000)"
202053825,423,Larceny From Motor Vehicle,ASSAULT - AGGRAVATED,C6, ,0,7/29/2020 19:19,2020,7,Wednesday,19,,DORCHESTER ST,,,"(0.00000000, 0.00000000)"
202053824,3001,Drug Violation,DEATH INVESTIGATION,D14, ,0,7/29/2020 19:26,2020,7,Wednesday,19,,WAVERLY ST,,,"(0.00000000, 0.00000000)"
202053822,3115,Drug Violation,INVESTIGATE PERSON,C11, ,0,7/29/2020 19:00,2020,7,Wednesday,19,,GENEVA AVE,,,"(0.00000000, 0.00000000)"
202053821,3201,Vandalism,PROPERTY - LOST/ MISSING,A7, ,0,7/29/2020 18:30,2020,7,Wednesday,18,,PARIS ST,,,"(0.00000000, 0.00000000)"
202053766,1402,Restraining Order Violations,VANDALISM,D14, ,0,7/29/2020 1:30,2020,7,Wednesday,1,,GARDNER ST,,,"(0.00000000, 0.00000000)"
202053765,613,Motor Vehicle Accident Response,LARCENY SHOPLIFTING,A1, ,0,7/29/2020 15:46,2020,7,Wednesday,15,,WASHINGTON ST,,,"(0.00000000, 0.00000000)"
202053764,423,Fraud,ASSAULT - AGGRAVATED,C11, ,0,7/29/2020 16:35,2020,7,Wednesday,16,,BULLARD ST,,,"(0.00000000, 0.00000000)"
202053763,3801,Simple Assault,M/V ACCIDENT - OTHER,B2, ,0,7/29/2020 16:35,2020,7,Wednesday,16,,,,,"(0.00000000, 0.00000000)"
202053762,1107,Investigate Person,FRAUD - IMPERSONATION,B2, ,0,7/29/2020 15:49,2020,7,Wednesday,15,,COPELAND ST,,,"(0.00000000, 0.00000000)"
202053761,3801,Medical Assistance,M/V ACCIDENT - OTHER,B2, ,0,7/29/2020 15:55,2020,7,Wednesday,15,,COLUMBUS AVE,,,"(0.00000000, 0.00000000)"
202053659,3115,Ballistics,INVESTIGATE PERSON,D4, ,0,7/29/2020 9:07,2020,7,Wednesday,9,,THORNDIKE ST,,,"(0.00000000, 0.00000000)"
202053658,1107,Drug Violation,FRAUD - IMPERSONATION,D4, ,0,7/29/2020 9:25,2020,7,Wednesday,9,,BEACON ST,,,"(0.00000000, 0.00000000)"
202053657,3410,Other,TOWED MOTOR VEHICLE,A1, ,0,7/29/2020 8:11,2020,7,Wednesday,8,,BATTERY ST,,,"(0.00000000, 0.00000000)"
202053656,423,Confidence Games,ASSAULT - AGGRAVATED,C11, ,0,7/29/2020 8:42,2020,7,Wednesday,8,,DORCHESTER AVE,,,"(0.00000000, 0.00000000)"
202053653,1402,Property Lost,VANDALISM,B3, ,0,7/25/2020 16:00,2020,7,Saturday,16,,BLUE HILL AVE,,,"(0.00000000, 0.00000000)"
202053652,3207,Other Burglary,PROPERTY - FOUND,E5, ,0,7/29/2020 8:00,2020,7,Wednesday,8,,CENTRE ST,,,"(0.00000000, 0.00000000)"
202053651,3205,Auto Theft,M/V PLATES - LOST,C11, ,0,7/2/2020 15:30,2020,7,Thursday,15,,GIBSON ST,,,"(0.00000000, 0.00000000)"
202053650,3410,Motor Vehicle Accident Response,TOWED MOTOR VEHICLE,B2, ,0,7/29/2020 8:41,2020,7,Wednesday,8,,SEAVER ST,,,"(0.00000000, 0.00000000)"
202053649,3201,Fraud,PROPERTY - LOST/ MISSING,B2, ,0,7/27/2020 14:00,2020,7,Monday,14,,WASHINGTON ST,,,"(0.00000000, 0.00000000)"
202053648,3410,Property Lost,TOWED MOTOR VEHICLE,A1, ,0,7/29/2020 7:57,2020,7,Wednesday,7,,HAWKINS ST,,,"(0.00000000, 0.00000000)"
202053595,3114,Confidence Games,INVESTIGATE PROPERTY,B3, ,0,7/28/2020 22:37,2020,7,Tuesday,22,,WILCOCK ST,,,"(0.00000000, 0.00000000)"
202053594,3830,Aggravated Assault,M/V - LEAVING SCENE - PERSONAL INJURY,B2, ,0,7/28/2020 23:16,2020,7,Tuesday,23,,,,,"(0.00000000, 0.00000000)"
202053593,801,Verbal Disputes,ASSAULT - SIMPLE,E5, ,0,7/28/2020 23:00,2020,7,Tuesday,23,,BROOKWAY RD,,,"(0.00000000, 0.00000000)"
202053592,3301,Investigate Person,VERBAL DISPUTE,B2, ,0,7/28/2020 23:08,2020,7,Tuesday,23,,DEWITT DR,,,"(0.00000000, 0.00000000)"
202053591,3301,Confidence Games,VERBAL DISPUTE,B2, ,0,7/28/2020 23:03,2020,7,Tuesday,23,,SEAVER ST,,,"(0.00000000, 0.00000000)"
202053590,3005,Medical Assistance,SICK ASSIST,A1, ,0,7/28/2020 22:41,2020,7,Tuesday,22,,,,,"(0.00000000, 0.00000000)"
202053589,3301,Motor Vehicle Accident Response,VERBAL DISPUTE,E18, ,0,7/28/2020 22:29,2020,7,Tuesday,22,,NEPONSET AVE,,,"(0.00000000, 0.00000000)"
202053533,3006,Vandalism,SICK/INJURED/MEDICAL - PERSON,A1, ,0,7/28/2020 17:25,2020,7,Tuesday,17,,HUDSON ST,,,"(0.00000000, 0.00000000)"
202053532,3108,Missing Person Reported,FIRE REPORT,B3, ,0,7/28/2020 16:02,2020,7,Tuesday,16,,PARK ST,,,"(0.00000000, 0.00000000)"
202053531,3301,Auto Theft,VERBAL DISPUTE,C11, ,0,7/28/2020 18:23,2020,7,Tuesday,18,,COLUMBIA RD,,,"(0.00000000, 0.00000000)"
202053530,3115,Auto Theft Recovery,INVESTIGATE PERSON,D14, ,0,7/28/2020 17:56,2020,7,Tuesday,17,,ETNA ST,,,"(0.00000000, 0.00000000)"
202053529,724,Simple Assault,AUTO THEFT,B2, ,0,7/28/2020 18:46,2020,7,Tuesday,18,,HUMBOLDT AVE,,,"(0.00000000, 0.00000000)"
202053528,3301,Medical Assistance,VERBAL DISPUTE,B2, ,0,7/28/2020 17:49,2020,7,Tuesday,17,,ANNUNCIATION RD,,,"(0.00000000, 0.00000000)"
202053527,3114,Motor Vehicle Accident Response,INVESTIGATE PROPERTY,B2, ,0,7/27/2020 18:36,2020,7,Monday,18,,WASHINGTON ST,,,"(0.00000000, 0.00000000)"
202053471,1107,Harassment,FRAUD - IMPERSONATION,A1,77,0,7/21/2020 12:00,2020,7,Tuesday,12,,NEW SUDBURY ST,,,"(0.00000000, 0.00000000)"
202053470,2610,Simple Assault,TRESPASSING,A1, ,0,7/28/2020 14:59,2020,7,Tuesday,14,,WASHINGTON ST,,,"(0.00000000, 0.00000000)"
202053469,3201,Violations,PROPERTY - LOST/ MISSING,A15, ,0,7/10/2020 12:00,2020,7,Friday,12,,VINE ST,,,"(0.00000000, 0.00000000)"
202053360,423,Investigate Person,ASSAULT - AGGRAVATED,C11,378,0,7/27/2020 21:40,2020,7,Monday,21,,NEPONSET AVE,,,"(0.00000000, 0.00000000)"
202053359,3005,Investigate Person,SICK ASSIST,C11,402,0,7/28/2020 8:20,2020,7,Tuesday,8,,FULLER ST,,,"(0.00000000, 0.00000000)"
202053358,1402,Medical Assistance,VANDALISM,C11,337,0,7/24/2020 12:00,2020,7,Friday,12,,EVERTON ST,,,"(0.00000000, 0.00000000)"
202050756,2647,Larceny,THREATS TO DO BODILY HARM,C6, ,0,7/18/2020 11:52,2020,7,Saturday,11,,LOGAN WAY,,,"(0.00000000, 0.00000000)"
202050620,3301,Investigate Person,VERBAL DISPUTE,C11,394,0,7/17/2020 20:45,2020,7,Friday,20,,,42.285247,-71.063414,"(42.28524700, -71.06341400)"
202046778,3301,Larceny,VERBAL DISPUTE,E5,698,0,7/3/2020 12:35,2020,7,Friday,12,,WEST ROXBURY PKWY,,,"(0.00000000, 0.00000000)"
202046729,423,Police Service Incidents,ASSAULT - AGGRAVATED,B3,427,0,7/3/2020 8:00,2020,7,Friday,8,,,,,"(0.00000000, 0.00000000)"
202043489,3005,Drug Violation,SICK ASSIST,C11,355,0,6/21/2020 16:34,2020,6,Sunday,16,,,42.297212,-71.061045,"(42.29721200, -71.06104500)"
202042434,2905,Search Warrants,VAL - VIOLATION OF AUTO LAW,D4,622,0,6/17/2020 17:30,2020,6,Wednesday,17,,COMM,,,"(0.00000000, 0.00000000)"
202041090,1402,Firearm Violations,VANDALISM,C6, ,0,6/11/2020 0:00,2020,6,Thursday,0,,,42.326659,-71.066753,"(42.32665900, -71.06675300)"
202039596,3005,Drug Violation,SICK ASSIST,C6,177,0,6/7/2020 11:01,2020,6,Sunday,11,,MASSACHUSETTS AVE,,,"(0.00000000, 0.00000000)"
202033010,3108,Property Lost,FIRE REPORT,B3,465,0,5/11/2020 23:41,2020,5,Monday,23,,BLUE HILL AVENUE,,,"(0.00000000, 0.00000000)"
202032818,3005,Medical Assistance,SICK ASSIST,A1,162,0,5/11/2020 17:15,2020,5,Monday,17,,,42.347321,-71.064412,"(42.34732100, -71.06441200)"
202053883,3410,Investigate Person,TOWED MOTOR VEHICLE,C6, ,0,7/29/2020 23:31,2020,7,Wednesday,23,,DORCHESTER AVE,,,"(0.00000000, 0.00000000)"
I02007608,2647,Property Lost,THREATS TO DO BODILY HARM,B3,428,0,1/28/2020 0:00,2020,1,Tuesday,0,,CLARKWOOD ST,42.280137,-71.090798,"(42.28013700, -71.09079800)"
854652314,3115,Medical Assistance,INVESTIGATE PERSON,B2,289,0,2/20/2020 0:00,2020,2,Thursday,0,,SCHROEDER PLZ,42.333679,-71.091877,"(42.33367900, -71.09187700)"
457856954,3115,Property Found,INVESTIGATE PERSON,B2,289,0,2/21/2020 1:42,2020,2,Friday,1,,SCHROEDER PLZ,42.333679,-71.091877,"(42.33367900, -71.09187700)"
302030654,1106,Medical Assistance,FRAUD - CREDIT CARD / ATM FRAUD,D4,167,0,4/24/2020 13:00,2020,4,Friday,13,,HARRISON AVE,42.339541,-71.069408,"(42.33954100, -71.06940800)"
302024360,3502,Medical Assistance,MISSING PERSON - LOCATED,E18,489,0,3/31/2020 14:00,2020,3,Tuesday,14,,TAUNTON AVE,42.268934,-71.109418,"(42.26893400, -71.10941800)"
212014631,3301,Warrant Arrests,VERBAL DISPUTE,B3,943,0,2/23/2020 6:52,2020,2,Sunday,6,,WOODBOLE AVE,42.277355,-71.079358,"(42.27735500, -71.07935800)"
207201867,3006,Residential Burglary,SICK/INJURED/MEDICAL - PERSON,C11,339,0,3/9/2020 0:00,2020,3,Monday,0,,DORCHESTER AVE,42.307828,-71.058374,"(42.30782800, -71.05837400)"
203036047,613,Other,LARCENY SHOPLIFTING,D4,167,0,5/25/2020 16:40,2020,5,Monday,16,,HARRISON AVE,42.339541,-71.069408,"(42.33954100, -71.06940800)"
202949966,3126,Investigate Property,WARRANT ARREST - OUTSIDE OF BOSTON WARRANT,D4,167,0,7/15/2020 11:58,2020,7,Wednesday,11,,HARRISON AVE,42.339541,-71.069408,"(42.33954100, -71.06940800)"
202929849,2647,Towed,THREATS TO DO BODILY HARM,D4,172,0,4/27/2020 12:00,2020,4,Monday,12,,MASSACHUSETTS AVE,42.333111,-71.072763,"(42.33311100, -71.07276300)"
202924913,801,Medical Assistance,ASSAULT - SIMPLE,E13,641,0,4/3/2020 23:05,2020,4,Friday,23,,CENTRE ST,42.316748,-71.113562,"(42.31674800, -71.11356200)"
202919303,1402,Larceny,VANDALISM,B2,282,0,3/9/2020 14:00,2020,3,Monday,14,,WASHINGTON ST,42.328662,-71.085634,"(42.32866200, -71.08563400)"
202641687,3301,Drug Violation,VERBAL DISPUTE,E18,494,0,6/15/2020 0:50,2020,6,Monday,0,,ARLINGTON ST,42.26148,-71.118278,"(42.26148000, -71.11827800)"
202612375,1107,License Violation,FRAUD - IMPERSONATION,D14,794,0,2/6/2020 8:00,2020,2,Thursday,8,,GLENVILLE AVE,42.349779,-71.13423,"(42.34977900, -71.13423000)"
202489421,520,Vandalism,BURGLARY - RESIDENTIAL,A7,23,0,7/11/2020 11:36,2020,7,Saturday,11,,SARATOGA ST,42.377043,-71.03518,"(42.37704300, -71.03518000)"
2024833,801,Residential Burglary,ASSAULT - SIMPLE,B2,237,0,1/18/2020 17:51,2020,1,Saturday,17,,CAWFIELD,,,"(0.00000000, 0.00000000)"
202355360,3501,Motor Vehicle Accident Response,MISSING PERSON,D4,147,0,7/14/2020 18:50,2020,7,Tuesday,18,,MASSACHUSETTS AVE,42.341147,-71.082461,"(42.34114700, -71.08246100)"
202202482,801,Aggravated Assault,ASSAULT - SIMPLE,D4,156,0,4/3/2020 9:00,2020,4,Friday,9,,MASSACHUSETTS AVE,42.337607,-71.078258,"(42.33760700, -71.07825800)"
202138575,1832,Verbal Disputes,SICK ASSIST - DRUG RELATED ILLNESS,D4, ,0,6/3/2020 14:00,2020,6,Wednesday,14,,,42.344318,-71.09071,"(42.34431800, -71.09071000)"
202126421,3830,Motor Vehicle Accident Response,M/V - LEAVING SCENE - PERSONAL INJURY,D4,171,0,3/9/2020 20:08,2020,3,Monday,20,,HARRISON AVE,42.335118,-71.074917,"(42.33511800, -71.07491700)"
2020I6851,1402,Larceny,VANDALISM,D14,752,0,3/7/2020 0:00,2020,3,Saturday,0,,N CRESCENT CIRT,42.349175,-71.167562,"(42.34917500, -71.16756200)"
202095978,1402,Confidence Games,VANDALISM,B2,267,0,1/23/2020 6:15,2020,1,Thursday,6,,DUDLEY ST,42.327885,-71.077706,"(42.32788500, -71.07770600)"
202095873,3114,Motor Vehicle Accident Response,INVESTIGATE PROPERTY,A1,75,0,5/24/2020 18:27,2020,5,Sunday,18,,PORTLAND ST,42.364238,-71.061655,"(42.36423800, -71.06165500)"
202080930,3115,Confidence Games,INVESTIGATE PERSON,E13,646,0,2/14/2020 18:24,2020,2,Friday,18,,CENTRE ST,42.310269,-71.115016,"(42.31026900, -71.11501600)"
202077640,3201,Residential Burglary,PROPERTY - LOST/ MISSING,A1,77,0,2/29/2020 2:00,2020,2,Saturday,2,,NEW SUDBURY ST,42.361838,-71.059764,"(42.36183800, -71.05976400)"
20207676,724,Medical Assistance,AUTO THEFT,E18,489,0,7/20/2020 9:38,2020,7,Monday,9,,WOOD AVE,42.266931,-71.111384,"(42.26693100, -71.11138400)"
202066824,3108,Larceny,FIRE REPORT,A15,900,0,1/26/2020 1:29,2020,1,Sunday,1,,TUFTS ST,42.378772,-71.056778,"(42.37877200, -71.05677800)"
202053923,3006,Larceny,SICK/INJURED/MEDICAL - PERSON,C6, ,0,7/30/2020 6:26,2020,7,Thursday,6,,,,,"(0.00000000, 0.00000000)"
202053922,3301,Property Lost,VERBAL DISPUTE,C11, ,0,7/30/2020 5:05,2020,7,Thursday,5,,ARCADIA ST,,,"(0.00000000, 0.00000000)"
202053921,3207,Towed,PROPERTY - FOUND,D4, ,0,7/30/2020 5:14,2020,7,Thursday,5,,WESTLAND AVE,,,"(0.00000000, 0.00000000)"
202053920,423,Medical Assistance,ASSAULT - AGGRAVATED,B2, ,1,7/30/2020 3:29,2020,7,Thursday,3,,HILLSIDE ST,,,"(0.00000000, 0.00000000)"
202053919,3114,Missing Person Reported,INVESTIGATE PROPERTY,B2, ,0,7/30/2020 4:40,2020,7,Thursday,4,,CAWFIELD ST,,,"(0.00000000, 0.00000000)"
202053918,619,Other,LARCENY ALL OTHERS,A1, ,0,7/30/2020 4:02,2020,7,Thursday,4,,COURT ST,,,"(0.00000000, 0.00000000)"
202053917,3108,Motor Vehicle Accident Response,FIRE REPORT,D14, ,0,7/30/2020 2:04,2020,7,Thursday,2,,WAVERLY ST,,,"(0.00000000, 0.00000000)"
202053916,540,Simple Assault,BURGLARY - COMMERICAL,A1, ,0,7/30/2020 3:19,2020,7,Thursday,3,,WASHINGTON ST,,,"(0.00000000, 0.00000000)"
202053915,3301,Robbery,VERBAL DISPUTE,C11, ,0,7/30/2020 3:41,2020,7,Thursday,3,,WASHINGTON ST,,,"(0.00000000, 0.00000000)"
202053914,3005,Aggravated Assault,SICK ASSIST,B3, ,0,7/30/2020 3:19,2020,7,Thursday,3,,FAIRMOUNT ST,,,"(0.00000000, 0.00000000)"
202053912,3115,Simple Assault,INVESTIGATE PERSON,D14, ,0,7/30/2020 3:16,2020,7,Thursday,3,,BEECHCROFT ST,,,"(0.00000000, 0.00000000)"
